"","H1","H2A","H2B","H3","H4"
"U2OS_KO_1",95931.8561922188,321363.546350947,195067.71118169,212116.130190937,240151.890600194
"U2OS_KO_2",81343.421976197,282609.521487227,164351.344580021,182461.139243059,217959.816089946
"U2OS_KO_3",78357.437237798,289643.046368156,154322.848235346,183822.496780087,222933.431280087
"U2OS_WT_1",170710.800258609,249199.694095068,141822.077164766,166782.192926571,187765.599736073
"U2OS_WT_2",179084.748510026,292149.735533955,164488.496767079,180917.832964114,216502.479336684
"U2OS_WT_3",172120.12219619,237899.78287506,163985.043084673,144055.875479602,161779.09474129
